iter	Passed	Remaining
0	5	1173
1	7	771
2	9	607
3	10	491
4	10	418
5	16	539
6	17	485
7	18	436
8	18	399
9	20	380
10	20	355
11	21	334
12	21	316
13	22	300
14	23	286
15	24	284
16	30	324
17	31	315
18	32	307
19	33	298
20	34	296
21	41	335
22	42	326
23	43	321
24	45	315
25	46	309
26	48	309
27	53	329
28	54	323
29	56	318
30	57	312
31	58	307
32	59	301
33	65	319
34	66	314
35	67	308
36	68	303
37	69	296
38	70	290
39	71	286
40	72	282
41	74	278
42	75	275
43	76	270
44	77	266
45	78	262
46	80	262
47	82	261
48	84	259
49	85	255
50	86	251
51	87	247
52	88	244
53	94	254
54	95	252
55	97	251
56	98	248
57	99	244
58	106	254
59	107	251
60	108	247
61	109	244
62	110	241
63	111	237
64	112	234
65	119	242
66	120	239
67	121	235
68	123	234
69	124	230
70	126	228
71	127	226
72	128	223
73	130	221
74	131	218
75	132	216
76	133	213
77	135	211
78	137	209
79	139	209
80	141	207
81	142	205
82	143	202
83	146	201
84	148	200
85	149	198
86	150	195
87	151	193
88	152	190
89	153	187
90	154	185
91	159	187
92	160	185
93	162	183
94	163	180
95	164	177
96	165	175
97	166	173
98	168	172
99	170	170
100	171	167
101	171	165
102	172	162
103	173	160
104	174	158
105	175	155
106	176	153
107	177	151
108	178	149
109	179	146
110	180	144
111	182	143
112	182	140
113	183	138
114	184	136
115	188	136
116	192	136
117	200	139
118	202	137
119	203	135
120	203	133
121	205	131
122	207	130
123	209	128
124	210	126
125	211	124
126	212	122
127	212	119
128	213	117
129	215	115
130	218	115
131	219	113
132	221	111
133	222	109
134	223	107
135	224	105
136	226	103
137	227	102
138	228	100
139	230	98
140	231	96
141	232	94
142	233	93
143	234	91
144	235	89
145	236	87
146	237	85
147	238	83
148	239	82
149	241	80
150	242	78
151	242	76
152	244	74
153	249	74
154	249	72
155	251	70
156	252	69
157	253	67
158	254	65
159	254	63
160	256	62
161	259	60
162	261	59
163	262	57
164	263	55
165	264	54
166	265	52
167	266	50
168	267	49
169	269	47
170	272	46
171	273	44
172	274	42
173	275	41
174	276	39
175	277	37
176	279	36
177	280	34
178	282	33
179	283	31
180	284	29
181	285	28
182	286	26
183	296	25
184	298	24
185	304	22
186	305	21
187	306	19
188	307	17
189	308	16
190	309	14
191	310	12
192	311	11
193	317	9
194	318	8
195	320	6
196	322	4
197	323	3
198	325	1
199	328	0
