2025-06-25 09:12:17,707 - 97 - werkzeug - WARNING -  * Debugger is active!
2025-06-25 09:12:17,741 - 97 - werkzeug - INFO -  * Debugger PIN: 652-873-769
2025-06-25 09:12:38,998 - 97 - werkzeug - INFO - 127.0.0.1 - - [25/Jun/2025 09:12:38] "[35m[1mGET /predictdata HTTP/1.1[0m" 500 -
2025-06-25 09:12:39,559 - 97 - werkzeug - INFO - 127.0.0.1 - - [25/Jun/2025 09:12:39] "GET /predictdata?__debugger__=yes&cmd=resource&f=debugger.js HTTP/1.1" 200 -
2025-06-25 09:12:39,565 - 97 - werkzeug - INFO - 127.0.0.1 - - [25/Jun/2025 09:12:39] "GET /predictdata?__debugger__=yes&cmd=resource&f=style.css HTTP/1.1" 200 -
2025-06-25 09:12:39,708 - 97 - werkzeug - INFO - 127.0.0.1 - - [25/Jun/2025 09:12:39] "GET /predictdata?__debugger__=yes&cmd=resource&f=console.png&s=42JbgGUVfmtUJ1YY4hZh HTTP/1.1" 200 -
2025-06-25 09:12:41,224 - 97 - werkzeug - INFO - 127.0.0.1 - - [25/Jun/2025 09:12:41] "GET /predictdata?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1" 200 -
2025-06-25 09:13:09,012 - 97 - werkzeug - INFO -  * Detected change in 'C:\\Users\\Practice DA\\2-ML\\3- Module 48 Practice\\app.py', reloading
2025-06-25 09:13:09,012 - 97 - werkzeug - INFO -  * Detected change in 'c:\\users\\practice da\\2-ml\\3- module 48 practice\\app.py', reloading
2025-06-25 09:13:09,012 - 97 - werkzeug - INFO -  * Detected change in 'C:\\Users\\Practice DA\\2-ML\\3- Module 48 Practice\\app.py', reloading
2025-06-25 09:13:09,012 - 97 - werkzeug - INFO -  * Detected change in 'c:\\users\\practice da\\2-ml\\3- module 48 practice\\app.py', reloading
2025-06-25 09:13:09,023 - 97 - werkzeug - INFO -  * Detected change in 'C:\\Users\\Practice DA\\2-ML\\3- Module 48 Practice\\app.py', reloading
2025-06-25 09:13:09,024 - 97 - werkzeug - INFO -  * Detected change in 'c:\\users\\practice da\\2-ml\\3- module 48 practice\\app.py', reloading
