2025-06-25 09:54:20,724 - 97 - werkzeug - WARNING -  * Debugger is active!
2025-06-25 09:54:20,755 - 97 - werkzeug - INFO -  * Debugger PIN: 652-873-769
2025-06-25 10:28:03,248 - 97 - werkzeug - INFO -  * Detected change in 'C:\\Users\\Practice DA\\2-ML\\3- Module 48 Practice\\app.py', reloading
2025-06-25 10:28:03,258 - 97 - werkzeug - INFO -  * Detected change in 'c:\\users\\practice da\\2-ml\\3- module 48 practice\\app.py', reloading
2025-06-25 10:28:03,686 - 97 - werkzeug - INFO -  * Detected change in 'c:\\users\\practice da\\2-ml\\3- module 48 practice\\setup.py', reloading
2025-06-25 10:28:03,750 - 97 - werkzeug - INFO -  * Detected change in 'c:\\users\\practice da\\2-ml\\3- module 48 practice\\src\\Components\\data_transformation.py', reloading
2025-06-25 10:28:03,870 - 97 - werkzeug - INFO -  * Detected change in 'C:\\Users\\Practice DA\\2-ML\\3- Module 48 Practice\\setup.py', reloading
2025-06-25 10:28:03,893 - 97 - werkzeug - INFO -  * Detected change in 'C:\\Users\\Practice DA\\2-ML\\3- Module 48 Practice\\src\\Components\\data_transformation.py', reloading
2025-06-25 10:28:03,971 - 97 - werkzeug - INFO -  * Detected change in 'c:\\users\\practice da\\2-ml\\3- module 48 practice\\src\\Pipeline\\predict_pipeline.py', reloading
2025-06-25 10:28:04,058 - 97 - werkzeug - INFO -  * Detected change in 'c:\\users\\practice da\\2-ml\\3- module 48 practice\\src\\utils.py', reloading
2025-06-25 10:28:04,070 - 97 - werkzeug - INFO -  * Detected change in 'C:\\Users\\Practice DA\\2-ML\\3- Module 48 Practice\\src\\Pipeline\\predict_pipeline.py', reloading
2025-06-25 10:28:04,095 - 97 - werkzeug - INFO -  * Detected change in 'C:\\Users\\Practice DA\\2-ML\\3- Module 48 Practice\\src\\utils.py', reloading
