iter	RMSE
0	14.65872971
1	14.09364484
2	13.64970764
3	13.16925493
4	12.68638887
5	12.25095197
6	11.851522
7	11.45673661
8	11.07692537
9	10.72023017
10	10.41006637
11	10.06880766
12	9.745553476
13	9.460842559
14	9.215998722
15	8.958383687
16	8.699797427
17	8.460404006
18	8.192392363
19	7.967456438
20	7.743207218
21	7.543268975
22	7.364214278
23	7.20267758
24	7.036415553
25	6.882546939
26	6.721446319
27	6.559698985
28	6.409510167
29	6.275495071
30	6.159521813
31	6.025391697
32	5.912728573
33	5.798635023
34	5.695950644
35	5.609646229
36	5.510499013
37	5.433967267
38	5.34171421
39	5.265908333
40	5.190319375
41	5.107766393
42	5.02841491
43	4.950758062
44	4.876140102
45	4.81115531
46	4.76049782
47	4.704929941
48	4.646980713
49	4.598289442
50	4.547523724
51	4.495623076
52	4.443343357
53	4.395242596
54	4.358645011
55	4.317654912
56	4.284127663
57	4.253375586
58	4.225057738
59	4.195133767
60	4.168737803
61	4.147913587
62	4.122351301
63	4.095591588
64	4.065770154
65	4.040709145
66	4.020617117
67	3.997630077
68	3.978688232
69	3.958571844
70	3.941411664
71	3.922459082
72	3.904397318
73	3.888610901
74	3.874395466
75	3.860853163
76	3.845154197
77	3.834669197
78	3.819214471
79	3.806099638
80	3.794144194
81	3.78104992
82	3.767045841
83	3.755272523
84	3.742315767
85	3.734540467
86	3.725241664
87	3.71390603
88	3.705123143
89	3.69679627
90	3.688654363
91	3.676938223
92	3.667223209
93	3.655485488
94	3.646248042
95	3.639719092
96	3.632780488
97	3.626941129
98	3.621477714
99	3.615209562
100	3.606469054
101	3.598747079
102	3.593453089
103	3.586301946
104	3.578591054
105	3.572588208
106	3.567367017
107	3.560025403
108	3.554725677
109	3.548746661
110	3.541982824
111	3.53792292
112	3.534723326
113	3.527571572
114	3.524548955
115	3.521578561
116	3.516720073
117	3.513145272
118	3.508253531
119	3.501480831
120	3.498446786
121	3.494528063
122	3.491258709
123	3.487146007
124	3.483606947
125	3.480488009
126	3.47543133
127	3.474449204
128	3.470026569
129	3.466696306
130	3.464337981
131	3.462385578
132	3.458893492
133	3.454820861
134	3.452482647
135	3.449604016
136	3.447373342
137	3.443125691
138	3.438624564
139	3.436164316
140	3.430812918
141	3.427205148
142	3.425075645
143	3.423156513
144	3.420680843
145	3.418569356
146	3.416830655
147	3.411629092
148	3.409077936
149	3.406963209
150	3.403822152
151	3.401020578
152	3.39797501
153	3.39594414
154	3.393320338
155	3.389972273
156	3.386655986
157	3.383456492
158	3.379350073
159	3.376176913
160	3.371512603
161	3.368804871
162	3.366749184
163	3.363741314
164	3.361971382
165	3.358065036
166	3.355602355
167	3.352510365
168	3.350807479
169	3.348978098
170	3.346955512
171	3.345364591
172	3.341796138
173	3.337492446
174	3.33550478
175	3.333312621
176	3.331921536
177	3.329773393
178	3.328383621
179	3.325523786
180	3.323004408
181	3.319884975
182	3.313969664
183	3.310443137
184	3.309010363
185	3.306391284
186	3.303750852
187	3.301772206
188	3.297751618
189	3.294837949
190	3.290317913
191	3.286809761
192	3.284485065
193	3.282170922
194	3.279167377
195	3.272708615
196	3.269021334
197	3.267683525
198	3.266476243
199	3.264825387
